"Path","Visits","Visitors"
"verano/life/readings/《月亮与六便士》读后感.md","63","29"
"verano/life/advanced/英文数字的表达.md","9","0"
"verano/life/guide/昵称由来.md","4","0"
"verano/tech/server/重置服务器密码.md","5","0"
"verano/life/play/2021-09-23.md","1","0"
"verano/life/dear diary/捡名字的人.md","45","17"
"verano/tech/mac/pr sequence.md","69","28"
"verano/life/advanced/学习计划.md","20","0"
"verano/life/play/固定支出.md","62","31"
"verano/life/advance/oral catena.md","40","13"
"verano/tech/win/重置windows sever密码.md","6","0"
"verano/life/dear diary/舒适的表达习惯.md","64","28"
"verano/life/advance/英文百句.md","50","28"
"verano/tech/linux/linux version.md","100","29"
"verano/life/advance/软考复习指南.md","30","13"
"verano/life/dear diary/上海 迪士尼.md","1","0"
"verano/life/advance/翻硕百科词条.md","148","34"
"verano/life/play/《我们的歌》.md","16","0"
"verano/life/dear diary/别爱太满.md","78","28"
"verano/life/dear diary/初冬.md","106","30"
"verano/life/guide/us address.md","1","0"
"verano/life/advanced/葡萄酒种类详解.md","7","0"
"verano/life/advance/三语种时态.md","33","17"
"verano/life/advanced/时间相关词汇.md","2","0"
"verano/life/play/八月北京.md","1","0"
"verano/life/guide/夏季常备.md","41","16"
"verano/life/readings/《横道世之介》.md","180","28"
"verano/life/advanced/衣物穿搭词汇.md","26","0"
"verano/tech/mac/软件备份.md","72","31"
"verano/life/dear diary/放风筝.md","70","18"
"verano/tech/win/常见问题.md","110","31"
"verano/life/dear diary/身处低谷，勿忘本心.md","50","30"
"verano/life/advance/时间相关习语.md","54","30"
"verano/life/play/转场剪辑.md","5","0"
"verano/life/dear diary/趣味儿故事【更新中】.md","324","50"
"about.md","382","141"
"verano/life/advance/寒冷天气词汇.md","51","29"
"verano/life/advanced/英文百句.md","1","0"
"verano/tech/mac/index+post+scss.md","8","0"
"verano/life/advance/方向指引词汇.md","63","31"
"verano/life/guide/雪景拍摄.md","48","28"
"verano/tech/linux/oneindex.md","116","32"
"verano/life/advance/学习工作计划.md","71","36"
"verano/life/dear diary/居家运动.md","63","19"
"verano/life/advanced/语言考试科目.md","3","0"
"verano/life/play/《视频剪辑》.md","10","0"
"verano/life/dear diary/如何在假期 修身养性.md","8","0"
"verano/life/advanced/音乐相关习语.md","3","0"
"verano/life/advance/时间相关词汇.md","54","29"
"verano/life/dear diary/get up.md","15","0"
"verano/life/advance/prep+which用法.md","60","29"
"verano/life/readings/阅读书单【更新中】.md","25","3"
"verano/life/dear diary/拉伸动作.md","72","31"
"verano/life/dear diary/nice to meet u.md","150","35"
"verano/life/play/《有趣的小事》.md","18","1"
"verano/life/advanced/网规备考指南.md","16","0"
"verano/life/readings/《斗罗大陆》十年陪伴.md","139","33"
"verano/life/dear diary/to haijing.md","216","15"
"verano/life/guide/网站指南.md","41","13"
"verano/life/guide/语言谱系分类.md","65","27"
"verano/life/guide/specific symbols.md","62","29"
"verano/life/dear diary/回家.md","79","26"
"verano/life/advanced/寒冷天气词汇.md","5","0"
"verano/life/dear diary/八月，北京.md","191","40"
"verano/tech/mac/代理工具.md","98","33"
"verano/life/readings/《源氏物语》.md","115","30"
"verano/life/play/天津游记.md","132","31"
"verano/life/play/音调.md","103","30"
"verano/life/dear diary/好的生活状态.md","83","34"
